Word,Meaning,Type,Audio,Sentence,,,,
accolade,a tangible symbol signifying approval or distinction,noun,https://lex-audio.useremarkable.com/mp3/accolade_us_1.mp3,the ultimate official accolade of a visit by the president,0,honour,recognition,privilege
admonish,scold or reprimand; take to task,transitive verb,https://lex-audio.useremarkable.com/mp3/admonish_us_1.mp3,she admonished me for appearing at breakfast unshaven,0,reprimand,rebuke,scold
antithetical,sharply contrasted in character or purpose,adjective,https://lex-audio.useremarkable.com/mp3/antithetical_us_1.mp3,people whose religious beliefs are antithetical to mine,0,opposed to,directly opposed to,contrary to
arcane,requiring secret or mysterious knowledge,adjective,https://lex-audio.useremarkable.com/mp3/arcane_us_1.mp3,modern math and its arcane notation,0,mysterious,secret,hidden
audacity,aggressive or outright boldness,noun,https://lex-audio.useremarkable.com/mp3/audacity_us_1.mp3,her audacity came in handy during our most recent emergency,0,boldness,daring,fearlessness
brazen,unrestrained by convention or propriety,transitive verb,https://lex-audio.useremarkable.com/mp3/brazen_us_1.mp3,there was nothing to do but brazen it out,0,put on a bold front,put a bold face on it,be defiant
constituent,one of the individual parts making up a composite entity,noun,https://lex-audio.useremarkable.com/mp3/xconstituent_us_1.mp3,They said the terms in office of legislators depended solely on the acceptance of their constituents who elected their representatives every five years.,0,voter,elector,member of the electorate
dilettante,an amateur engaging in an activity without serious intention,noun,https://lex-audio.useremarkable.com/mp3/dilettante_us_1_rr.mp3,a wealthy literary dilettante,0,dabbler,potterer,tinkerer
foment,try to stir up,transitive verb,https://lex-audio.useremarkable.com/mp3/foment_us_2_rr.mp3,they accused him of fomenting political unrest,0,instigate,incite,provoke
garrulous,full of trivial conversation,adjective,https://lex-audio.useremarkable.com/mp3/garrulous_us_1.mp3,"Polonius is portrayed as a foolish, garrulous old man",0,talkative,loquacious,voluble
haphazard,dependent upon or characterized by chance,adjective,https://lex-audio.useremarkable.com/mp3/haphazard_us_1.mp3,the kitchen drawers contained a haphazard collection of silver souvenir spoons,0,random,unplanned,unsystematic
hegemony,the dominance or leadership of one social group over others,noun,https://lex-audio.useremarkable.com/mp3/hegemony_us_6.mp3,Germany was united under Prussian hegemony after 1871,0,leadership,dominance,dominion
inimical,not friendly,adjective,https://lex-audio.useremarkable.com/mp3/inimical_us_1.mp3,actions inimical to our interests,0,harmful,injurious,detrimental
inscrutable,difficult or impossible to understand,adjective,https://lex-audio.useremarkable.com/mp3/inscrutable_us_1.mp3,Guy looked blankly inscrutable,0,enigmatic,unreadable,impenetrable
insolent,marked by casual disrespect,adjective,https://lex-audio.useremarkable.com/mp3/insolent_us_1.mp3,she hated the insolent tone of his voice,0,impertinent,impudent,cheeky
intrepid,invulnerable to fear or intimidation,adjective,https://lex-audio.useremarkable.com/mp3/intrepid_us_1.mp3,our intrepid reporter,0,fearless,unafraid,undaunted
inveterate,habitual,adjective,https://lex-audio.useremarkable.com/mp3/inveterate_us_1.mp3,he was an inveterate gambler,0,ingrained,deep-seated,deep-rooted
irrevocable,incapable of being retracted,adjective,https://lex-audio.useremarkable.com/mp3/irrevocable_us_1.mp3,an irrevocable step,0,irreversible,unrectifiable,irremediable
munificent,very generous,adjective,https://lex-audio.useremarkable.com/mp3/munificent_us_1.mp3,a munificent gesture,0,generous,bountiful,open-handed
obsequious,attempting to win favor from influential people by flattery,adjective,https://lex-audio.useremarkable.com/mp3/obsequious_us_1.mp3,they were served by obsequious waiters,0,servile,ingratiating,unctuous
