Word,Meaning,Type,Audio,Sentence,,,,
animosity,a feeling of ill will arousing active hostility,noun,https://lex-audio.useremarkable.com/mp3/animosity_us_1.mp3,he no longer felt any animosity toward her,0,antipathy,hostility,friction
apex,the highest point of something,noun,https://lex-audio.useremarkable.com/mp3/apex_us_2.mp3,the living room extends right up into the apex of the roof,0,tip,peak,summit
avarice,extreme greed for material wealth,noun,https://lex-audio.useremarkable.com/mp3/avarice_us_1.mp3,he was rich beyond the dreams of avarice,0,greed,acquisitiveness,cupidity
badger,annoy persistently,transitive verb,https://lex-audio.useremarkable.com/mp3/badger_us_1.mp3,Tom had finally badgered her into going,0,pester,harass,bother
beatific,resembling or befitting an angel or saint,adjective,https://lex-audio.useremarkable.com/mp3/beatific_us_1.mp3,a beatific smile,0,rapturous,joyful,ecstatic
becoming,displaying or setting off to best advantage,noun,https://lex-audio.useremarkable.com/mp3/becoming_us_1.mp3,a series of poem sketches in a state of becoming,0,enhancing,aggreable,attractice
bellicose,having or showing a ready disposition to fight,adjective,https://lex-audio.useremarkable.com/mp3/bellicose_us_1.mp3,a group of bellicose patriots,0,belligerent,aggressive,hostile
cadaverous,very thin especially from disease or hunger or cold,adjective,https://lex-audio.useremarkable.com/mp3/cadaverous_us_1.mp3,he had a cadaverous appearance,0,pale,deathly pale,pallid
cardinal,of prime importance,noun,https://lex-audio.useremarkable.com/mp3/cardinal_us_1.mp3,his appointment as cardinal,0,primary,essential,first
catalyst,something that causes an important event to happen,noun,https://lex-audio.useremarkable.com/mp3/catalyst_us_2.mp3,chlorine acts as a catalyst promoting the breakdown of ozone,0,channel,medium,means
chauvinist,a person with a prejudiced belief in his own superiority,noun,https://lex-audio.useremarkable.com/mp3/chauvinist_us_1.mp3,"she now reports to a new boss, who is a chauvinist",0,sexist,chauvinist,anti-feminist
check,lessen the intensity of,transitive verb,https://lex-audio.useremarkable.com/mp3/check_us_1.mp3,customs officers have the right to check all luggage,0,examine,inspect,look at
cogent,powerfully persuasive,adjective,https://lex-audio.useremarkable.com/mp3/cogent_us_1.mp3,they put forward cogent arguments for British membership,0,convincing,compelling,strong
contrite,feeling or expressing pain or sorrow for sins or offenses,adjective,https://lex-audio.useremarkable.com/mp3/xcontrite_us_1.mp3,a broken and a contrite heart,0,remorseful,repentant,penitent
corroborate,give evidence for,transitive verb,https://lex-audio.useremarkable.com/mp3/corroborate_us_1.mp3,the witness had corroborated the boy's account of the attack,0,confirm,verify,endorse
desecrate,violate the sacred character of a place or language,transitive verb,https://lex-audio.useremarkable.com/mp3/desecrate_us_1.mp3,more than 300 graves were desecrated,0,violate,profane,treat sacrilegiously
disparate,fundamentally different or distinct in quality or kind,noun,https://lex-audio.useremarkable.com/mp3/disparate_us_1.mp3,The second class of disparates have more to do with the particular foibles of the aperture involved.,0,contrasting,discordant,divergent
errant,straying from the right course or from accepted standards,adjective,https://lex-audio.useremarkable.com/mp3/errant_us_1.mp3,he could never forgive his daughter's errant ways,0,offending,guilty,culpable
exhort,spur on or encourage especially by cheers and shouts,verb,https://lex-audio.useremarkable.com/mp3/exhort_us_1.mp3,"Come on, you guys, exhorted Linda",0,urge,encourage,call on
extenuating,partially excusing or justifying,adjective,https://lex-audio.useremarkable.com/mp3/extenuating_us_1.mp3,library staff will waive fines where there are genuine extenuating circumstances,0,forgive,pardon,absolve
ferret,hound or harry relentlessly,verb,https://lex-audio.useremarkable.com/mp3/ferret_us_1.mp3,I could show you how to ferret for rabbits,0,pry,scout,snooper
flush,having an abundant supply of money or possessions of value,verb,https://lex-audio.useremarkable.com/mp3/flush_us_1.mp3,Mr. Cunningham flushed angrily,0,excessive,grow,bloom
heyday,the period of greatest prosperity or productivity,noun,https://lex-audio.useremarkable.com/mp3/heyday_us_1.mp3,the paper has lost millions of readers since its heyday in 1964,0,prime,peak,height
immaterial,lacking importance; not mattering one way or the other,adjective,https://lex-audio.useremarkable.com/mp3/immaterial_us_1.mp3,"so long as the band kept the beat, what they played was immaterial",0,irrelevant,unimportant,inconsequential
imponderable,a factor whose effects cannot be accurately assessed,noun,https://lex-audio.useremarkable.com/mp3/imponderable_us_1.mp3,there are too many imponderables for an overall prediction,0,ephemeral,gradual,intangible
junta,a group of officers who rule a country after seizing power,noun,https://lex-audio.useremarkable.com/mp3/junta_us_2.mp3,the country's ruling military junta,0,faction,group,cabal
melee,a noisy riotous fight,noun,https://lex-audio.useremarkable.com/mp3/melee_1_us_1.mp3,several people were hurt in the melee,0,tumult,disturbance,rumpus
misanthrope,someone who dislikes people in general,noun,https://lex-audio.useremarkable.com/mp3/misanthrope_us_1.mp3,Scrooge wasn't the mean-spirited misanthrope most of us believe him to be,0,hater of mankind,cynic,sceptic
moment,importance in effect or influence,noun,https://lex-audio.useremarkable.com/mp3/moment_us_1.mp3,she was silent for a moment before replying,0,little while,short time,bit
paucity,an insufficient quantity or number,noun,https://lex-audio.useremarkable.com/mp3/paucity_us_1.mp3,a paucity of information,0,insufficiency,deficiency,scantness
pittance,an inadequate payment,noun,https://lex-audio.useremarkable.com/mp3/pittance_us_1.mp3,It does give some money - a pittance - to some boys and girls.,0,a very small amount,a tiny amount,an insufficient amount
preemptive,designed to prevent an anticipated situation or occurrence,adjective,https://lex-audio.useremarkable.com/mp3/preemptive_us_1.mp3,a preemptive strike,0,preventive,preventative,precautionary
pugnacious,ready and able to resort to force or violence,adjective,https://lex-audio.useremarkable.com/mp3/pugnacious_us_1.mp3,his public statements became increasingly pugnacious,0,combative,aggressive,antagonistic
raft,a large number or amount or extent,verb,https://lex-audio.useremarkable.com/mp3/raft_us_1.mp3,raft of swimming birds,0,abundance,a lot,indefinite
replete,filled to satisfaction with food or drink,adjective,https://lex-audio.useremarkable.com/mp3/replete_us_1.mp3,"sensational popular fiction, replete with adultery and sudden death",0,filled,full,well stocked
