Word,Meaning,Type,Audio,Sentence,,,,
ploy,a maneuver in a game or conversation,noun,https://lex-audio.useremarkable.com/mp3/ploy_us_1.mp3,the president has dismissed the referendum as a ploy to buy time,0,plan,scheme,tactic
convoluted,highly complex or intricate,adjective,https://lex-audio.useremarkable.com/mp3/xconvoluted_us_1.mp3,its convoluted narrative encompasses all manner of digressions,0,complicated,complex,involved
tout,advertise in strongly positive terms,verb,https://lex-audio.useremarkable.com/mp3/tout_us_1.mp3,Jim was touting his wares,0,promote,acclaim,publicize
impending,close in time; about to occur,adjective,https://lex-audio.useremarkable.com/mp3/impending_us_1.mp3,the author had returned to his country ahead of the impending war,0,imminent,at hand,close
pastoral,devoted to raising sheep or cattle,noun,https://lex-audio.useremarkable.com/mp3/pastoral_us_1.mp3,"the story, though a pastoral, has an actual connection with the life of agricultural labor",0,pastoral,eclogue,georgic
maxim,a saying that is widely accepted on its own merits,noun,https://lex-audio.useremarkable.com/mp3/maxim_1_us_1.mp3,the maxim that actions speak louder than words,0,saying,adage,aphorism
diligent,quietly and steadily persevering in detail or exactness,adjective,https://lex-audio.useremarkable.com/mp3/diligent_us_1.mp3,many caves are located only after a diligent search,0,industrious,hard-working,assiduous
goad,stab or urge on as if with a pointed stick,transitive verb,https://lex-audio.useremarkable.com/mp3/goad_us_1.mp3,he goaded her on to more daring revelations,0,provoke,spur,prick
steadfast,marked by firm determination or resolution; not shakable,adjective,https://lex-audio.useremarkable.com/mp3/steadfast_us_1.mp3,steadfast loyalty,0,loyal,faithful,committed
destitute,poor enough to need help from others,adjective,https://lex-audio.useremarkable.com/mp3/destitute_us_1.mp3,the charity cares for destitute children,0,penniless,impoverished,poverty-stricken
unseemly,not in keeping with accepted standards of what is proper,adjective,https://lex-audio.useremarkable.com/mp3/unseemly_us_1.mp3,an unseemly squabble,0,indecorous,improper,inappropriate
tact,consideration in dealing with others,noun,https://lex-audio.useremarkable.com/mp3/tact_us_1.mp3,the inspector broke the news to me with tact and consideration,0,sensitivity,understanding,thoughtfulness
peevish,easily irritated or annoyed,adjective,https://lex-audio.useremarkable.com/mp3/peevish_us_1.mp3,all this makes Steve fretful and peevish,0,irritable,irascible,fractious
discord,lack of agreement or harmony,noun,https://lex-audio.useremarkable.com/mp3/discord_us_1.mp3,a prosperous family who showed no signs of discord,0,strife,conflict,friction
elude,"escape, either physically or mentally",transitive verb,https://lex-audio.useremarkable.com/mp3/elude_us_1.mp3,he managed to elude his pursuers by escaping into an alley,0,evade,avoid,get away from
irk,irritate or vex,transitive verb,https://lex-audio.useremarkable.com/mp3/irk_us_1.mp3,it irks her to think of the runaround she received,0,irritate,annoy,vex
complacent,contented to a fault with oneself or one's actions,adjective,https://lex-audio.useremarkable.com/mp3/complacent_us_1.mp3,you can't afford to be complacent about security,0,smug,self-satisfied,pleased with oneself
taxing,not easily borne; wearing,adjective,https://lex-audio.useremarkable.com/mp3/taxing_us_1.mp3,they find the work too taxing,0,demanding,exacting,challenging
placid,calm and free from disturbance,adjective,https://lex-audio.useremarkable.com/mp3/placid_us_1.mp3,this horse has a placid nature,0,even-tempered,calm,equable
enmity,a state of deep-seated ill-will,noun,https://lex-audio.useremarkable.com/mp3/enmity_us_1.mp3,decades of enmity between the two countries,0,hostility,animosity,antagonism
travail,use of physical or mental energy; hard work,noun,https://lex-audio.useremarkable.com/mp3/travail_us_2.mp3,advice for those who wish to save great sorrow and travail,0,hard work,menial work,donkey work
perturb,disturb in mind or make uneasy or cause to be worried,transitive verb,https://lex-audio.useremarkable.com/mp3/perturb_us_1.mp3,they were perturbed by her capricious behavior,0,worry,upset,unsettle
quip,a witty saying,noun,https://lex-audio.useremarkable.com/mp3/quip_us_1.mp3,Peter ate heartily with a quip about being a condemned man,0,joke,witty remark,witticism
foible,a minor weakness or peculiarity in someone's character,noun,https://lex-audio.useremarkable.com/mp3/foible_us_1.mp3,they have to tolerate each other's little foibles,0,weakness,weak point,weak spot
collusion,secret agreement,noun,https://lex-audio.useremarkable.com/mp3/collusion_us_1.mp3,the armed forces were working in collusion with drug traffickers,0,conspiracy,connivance,complicity
credulity,tendency to believe readily,noun,https://lex-audio.useremarkable.com/mp3/credulity_us_1.mp3,moneylenders prey upon their credulity and inexperience,0,gullibility,gullibleness,credulousness
obstinate,marked by tenacious unwillingness to yield,adjective,https://lex-audio.useremarkable.com/mp3/obstinate_us_1.mp3,her obstinate determination to pursue a career in radio,0,stubborn,headstrong,wilful
exemplify,be characteristic of,transitive verb,https://lex-audio.useremarkable.com/mp3/exemplify_us_2.mp3,rock bands that best exemplify the spirit of the age,0,typify,epitomize,be a typical example of
squander,spend thoughtlessly; throw away,transitive verb,https://lex-audio.useremarkable.com/mp3/squander_us_1.mp3,entrepreneurs squander their profits on expensive cars,0,waste,misspend,misuse
reservation,the act of setting aside for some future occasion,noun,https://lex-audio.useremarkable.com/mp3/reservation_us_1.mp3,the reservation of positions for non-Americans,0,enclave,restriction,demur
tarnish,make or become dirty or spotty,verb,https://lex-audio.useremarkable.com/mp3/tarnish_us_1.mp3,silver tarnishes too easily,0,rust,discolour,stain
rash,imprudently incurring risk,adjective,https://lex-audio.useremarkable.com/mp3/rash_us_1.mp3,it would be extremely rash to make such an assumption,0,reckless,impetuous,impulsive
unprecedented,novel; having no earlier occurrence,adjective,https://lex-audio.useremarkable.com/mp3/unprecedented_us_1.mp3,the government took the unprecedented step of releasing confidential correspondence,0,unparalleled,unequalled,unmatched
connive,"secretly allow (something immoral, illegal, or harmful) to occur.",intransitive verb,https://lex-audio.useremarkable.com/mp3/xconnive_us_1.mp3,I did not connive in the production of these documents,0,deliberately ignore,overlook,not take into consideration
retract,formally reject or disavow,transitive verb,https://lex-audio.useremarkable.com/mp3/retract_us_1.mp3,she retracted her hand as if she'd been burnt,0,pull in,draw in,pull back
impregnable,incapable of being attacked or tampered with,adjective,https://lex-audio.useremarkable.com/mp3/impregnable_us_1.mp3,an impregnable wall of solid sandstone,0,invulnerable,impenetrable,unattackable
devolve,pass on or delegate to another,transitive verb,https://lex-audio.useremarkable.com/mp3/devolve_us_1.mp3,measures to devolve power to the provinces,0,delegate,pass,pass down
smug,marked by excessive complacency or self-satisfaction,adjective,https://lex-audio.useremarkable.com/mp3/smug_us_1.mp3,he was feeling smug after his win,0,self-satisfied,complacent,self-congratulatory
exasperate,make furious,transitive verb,https://lex-audio.useremarkable.com/mp3/exasperate_us_1.mp3,this futile process exasperates prison officials,0,infuriate,incense,anger
embellish,"make more attractive, as by adding ornament or color",transitive verb,https://lex-audio.useremarkable.com/mp3/embellish_us_1.mp3,blue silk embellished with golden embroidery,0,decorate,adorn,ornament
malevolent,wishing or appearing to wish evil to others,adjective,https://lex-audio.useremarkable.com/mp3/malevolent_us_1.mp3,"the glint of dark, malevolent eyes",0,malicious,spiteful,hostile
presumption,a premise that is taken for granted,noun,https://lex-audio.useremarkable.com/mp3/presumption_us_1.mp3,underlying presumptions about human nature,0,supposition,boldness,anticipation
