Word,Meaning,Type,Audio,Sentence,Syn1,Syn2,Syn3,
recondite,difficult to understand,adjective,https://lex-audio.useremarkable.com/mp3/recondite_us_1.mp3,the book is full of recondite information,0,abstruse,academic,acroamatic
reticent,reluctant to draw attention to yourself,adjective,https://lex-audio.useremarkable.com/mp3/reticent_us_1.mp3,she was extremely reticent about her personal affairs,0,bashful,hesitant,mum
rustic,characteristic of rural life,,https://lex-audio.useremarkable.com/mp3/rustic_us_1.mp3,"That night they dined at a rustic table made of planks, their meal lit by a kerosene lamp.",0,rural,provincial,agrestic
superfluous,"more than is needed, desired, or required",adjective,https://lex-audio.useremarkable.com/mp3/superfluous_us_2.mp3,the purchaser should avoid asking for superfluous information,0,excessive,expendable,gratuitous
torpor,a state of motor and mental inactivity,noun,https://lex-audio.useremarkable.com/mp3/torpor_us_1.mp3,they veered between apathetic torpor and hysterical fanaticism,0,apathy,disinterest,dormancy
vociferous,conspicuously and offensively loud,adjective,https://lex-audio.useremarkable.com/mp3/vociferous_us_1.mp3,he was a vociferous opponent of the takeover,0,boisterous,clamorous,noisy
volubility,the quality of being facile in speech and writing,noun,https://lex-audio.useremarkable.com/mp3/volubility_us_1.mp3,her legendary volubility deserted her,0,fitness,good will,keenness
didactic,"instructive, especially excessively",adjective,https://lex-audio.useremarkable.com/mp3/didactic_us_1.mp3,a didactic novel that set out to expose social injustice,0,academic,advisory,donnish
audacious,disposed to venture or take risks,adjective,https://lex-audio.useremarkable.com/mp3/audacious_us_1.mp3,a series of audacious takeovers,0,adventurous,bold,courageous
dogmatic,pertaining to a code of beliefs accepted as authoritative,adjective,https://lex-audio.useremarkable.com/mp3/dogmatic_us_2_rr.mp3,he gives his opinion without trying to be dogmatic,0,arbitrary,arrogant,assertive
meticulous,marked by extreme care in treatment of details,adjective,https://lex-audio.useremarkable.com/mp3/meticulous_us_1.mp3,he had always been so meticulous about his appearance,0,accurate,cautious,conscientious
